timestamp,voltage_ll_avg,current_avg,power_factor,active_power_kw,apparent_power_kva,reactive_power_kvar,active_energy_kwh,solar_voltage_ll_avg,solar_current_avg,solar_power_factor,solar_active_power_kw,solar_apparent_power_kva,solar_reactive_power_kvar,solar_active_energy_kwh,hour,minute,day_of_week,day_of_month,month,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,is_daylight,apparent_vs_active_ratio,reactive_power_ratio,voltage_deviation,solar_contribution_ratio,net_grid_power,energy_consumption,energy_lag_1,energy_lag_4,energy_lag_96,power_lag_1,power_lag_4,voltage_lag_1,energy_roll_mean_4,energy_roll_std_4,energy_roll_mean_24,power_roll_mean_4,power_roll_std_4
2026-02-11 13:30:00,444.686,2.03,0.954,1.154,1.22,-0.397,25027.66,447.714,50.341,0.996,38.632,38.643,-0.893,25037.484,13,30,2,11,2,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1,1.0571923743500866,0.34402079722703643,14.684412099734175,0.9709948222993012,-37.477999999999994,9.961999999999534,9.864000000001397,8.286000000000058,10.470000000001164,1.464,1.659,442.225,9.564000000000306,0.410602808888337,2.8158124999999927,1.4829999999999994,0.2380728179920252
2026-02-11 13:45:00,444.539,1.606,0.95,0.482,0.495,-0.113,25037.484,448.012,47.821,0.991,38.658,36.937,-0.596,25046.986,13,45,2,11,2,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,1,1.0269709543568466,0.2344398340248963,14.537412099734183,0.9876852324987225,-38.176,9.824000000000524,9.961999999999534,9.298000000002503,10.040000000000873,1.154,1.636,444.686,9.69549999999981,0.38011357951835895,2.813562499999989,1.1944999999999995,0.5214399933517383
2026-02-11 14:00:00,442.476,0.653,0.91,1.126,1.127,-0.039,25046.986,444.85,48.265,0.993,36.177,37.114,-0.418,25056.442,14,0,2,11,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1,1.0008880994671405,0.03463587921847247,12.474412099734195,0.9698147602069539,-35.051,9.502000000000407,9.824000000000524,9.131999999997788,9.68199999999706,0.482,1.678,444.539,9.788000000000466,0.19928538999784906,2.811687500000024,1.0564999999999996,0.4124895958283789
2026-02-11 14:15:00,437.755,1.542,0.81,3.207,3.247,-0.507,25056.442,443.332,45.7,0.99,34.969,34.976,-0.707,25065.248,14,15,2,11,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1,1.0124727159338947,0.15809167446211414,7.7534120997341915,0.9159943419949707,-31.762,9.455999999998312,9.502000000000407,9.864000000001397,10.110000000000582,1.126,1.464,442.476,9.685999999999694,0.24628980219817176,2.8048750000000005,1.4922499999999994,1.1845568439997567
2026-02-11 14:30:00,436.275,4.593,0.842,3.45,3.573,-0.929,25065.248,440.716,44.301,0.994,33.68,33.687,-0.651,25073.506,14,30,2,11,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1,1.0356521739130433,0.2692753623188406,6.273412099734173,0.9070832211150013,-30.23,8.806000000000495,9.455999999998312,9.961999999999534,9.744000000002416,3.207,1.154,437.755,9.396999999999935,0.42665989577948304,2.795104166666647,2.0662499999999997,1.4843621245055638
2026-02-11 14:45:00,433.576,5.594,0.84,4.121,4.257,-1.069,25073.506,437.59,45.329,0.994,34.417,34.42,-0.466,25082.042,14,45,2,11,2,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,1,1.0330016986168404,0.259403057510313,3.574412099734218,0.8930665836317401,-30.296,8.25800000000163,8.806000000000495,9.824000000000524,9.367999999998574,3.45,0.482,436.275,9.005500000000211,0.5910496313046754,2.783541666666679,2.976,1.2924862346140022
2026-02-11 15:00:00,433.208,6.448,0.856,3.844,3.981,-1.034,25082.042,434.843,40.537,0.998,30.547,30.549,-0.392,25089.638,15,0,2,11,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1,1.0356399583766909,0.2689906347554631,3.206412099734223,0.8882265709051788,-26.703,8.536000000000058,8.25800000000163,9.502000000000407,9.132000000001426,4.121,1.126,433.576,8.764000000000124,0.5127208467239451,2.777333333333331,3.6555,0.4064500789355176
2026-02-11 15:15:00,430.734,6.049,0.865,4.463,4.578,-1.022,25089.638,433.343,34.577,0.995,29.754,26.012,-0.861,25096.658,15,15,2,11,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1,1.025767421017253,0.22899395025767422,0.7324120997341765,0.8695677587164276,-25.291,7.59599999999773,8.536000000000058,9.455999999998312,8.815999999998894,3.844,3.207,433.208,8.298999999999978,0.5193290543266753,2.764624999999986,3.9694999999999996,0.4290007770001026
2026-02-11 15:30:00,429.739,6.915,0.866,4.4,4.467,-0.768,25096.658,431.389,34.083,0.994,25.717,25.465,-0.433,25103.01,15,30,2,11,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1,1.0152272727272726,0.17454545454545453,0.262587900265828,0.8539031111996547,-21.317,7.020000000000437,7.59599999999773,8.806000000000495,8.265999999999622,4.463,3.45,430.734,7.852499999999964,0.6807963474250254,2.7516458333333276,4.207,0.2839894364233072
2026-02-11 15:45:00,428.912,6.795,0.857,4.549,4.66,-1.012,25103.01,430.496,31.564,0.99,23.442,23.444,-0.28,25108.84,15,45,2,11,2,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,1,1.0244009672455485,0.22246647614860407,1.0895879002658262,0.8374834768318388,-18.893,6.351999999998952,7.020000000000437,8.25800000000163,7.569999999999709,4.4,4.121,429.739,7.375999999999294,0.9254389949281547,2.73895833333332,4.314,0.3192292801942862
